registry_number,business_name,entity_type,registry_date,nonprofit_type,address_type,address,address_continued,city,state,zip_code
90118,THE CHRISTIAN CHURCH OF HILLSBORO OREGON,DOMESTIC NONPROFIT CORPORATION,1887-11-16,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,540 NE EDISION ST,,HILLSBORO,OR,97124
189811,"COMMUNITY PRESBYTERIAN CHURCH OF MORO, OREGON",DOMESTIC NONPROFIT CORPORATION,1887-12-07,RELIGIOUS,MAILING ADDRESS,PO BOX 112,,MORO,OR,97039
189910,FIRST BAPTIST CHURCH OF HILLSBORO OREGON,DOMESTIC NONPROFIT CORPORATION,1888-01-24,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 186,,HILLSBORO,OR,97123
418012,PIONEER UNITED METHODIST CHURCH OF PORTLAND,DOMESTIC NONPROFIT CORPORATION,1888-03-27,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,4784 N LOMBARD ST STE B PMB 203,,PORTLAND,OR,97203
188813,"FIRST CONGREGATIONAL CHURCH, INC., HILLSBORO, OREGON",DOMESTIC NONPROFIT CORPORATION,1888-03-28,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,494 E MAIN,,HILLSBORO,OR,97123
457010,THE RECTOR WARDENS AND VESTRYMEN OF THE CHURCH OF THE REDEEMER,DOMESTIC NONPROFIT CORPORATION,1888-06-05,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,EPISCOPAL CHURCH OF THE REDEEMER,241 SE SECOND ST,PENDLETON,OR,97801
190116,"FIRST BAPTIST CHURCH OF INDEPENDENCE, POLK COUNTY, STATE OF OREGON",DOMESTIC NONPROFIT CORPORATION,1888-08-07,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1505 MONMOUTH ST,,INDEPENDENCE,OR,97351
188110,LAKE OSWEGO UNITED CHURCH OF CHRIST (CONGREGATIONAL),DOMESTIC NONPROFIT CORPORATION,1888-10-03,RELIGIOUS,MAILING ADDRESS,1111 SW COUNTRY CLUB ROAD,,LAKE OSWEGO,OR,97034
190611,THE FIRST CONGREGATIONAL CHURCH OF CORVALLIS OREGON,DOMESTIC NONPROFIT CORPORATION,1888-10-16,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,4515 SW WEST HILLS RD,,CORVALLIS,OR,97333
189514,"THE FIRST CHRISTIAN CHURCH OF MEDFORD JACKSON CO., OR.",DOMESTIC NONPROFIT CORPORATION,1888-12-07,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1900 CRATER LAKE AVE,,MEDFORD,OR,97504
282616,"FIRST UNITED METHODIST CHURCH OF LEBANON, LINN COUNTY OREGON",DOMESTIC NONPROFIT CORPORATION,1889-01-02,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1890 S 2ND ST,,LEBANON,OR,97355
317511,MONROE CEMETERY ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1889-01-03,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 534,,MONROE,OR,97456
36913,BLUE MOUNTAIN LODGE NO 34 A.F.& A.M,DOMESTIC NONPROFIT CORPORATION,1889-02-02,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 598,,BAKER CITY,OR,97814
302414,TILLAMOOK UNITED METHODIST CHURCH,DOMESTIC NONPROFIT CORPORATION,1889-03-01,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,3808 12TH STREET,,TILLAMOOK,OR,97141
